spread_favorite,over_under_line,weather_temperature,weather_humidity,total_points,team_home_encoded,team_away_encoded,team_favorite_id_encoded
-4.0,38.0,37.0,65.0,37,11,29,11
-3.0,39.0,72.0,0.0,31,30,7,31
-7.0,36.0,49.0,45.0,26,15,6,15
-10.0,45.0,59.0,82.0,51,17,24,17
-6.0,42.0,72.0,0.0,43,22,20,20
-2.0,43.0,39.0,65.0,30,23,0,0
-6.0,41.0,36.0,74.0,33,26,19,27
-3.0,42.0,61.0,81.0,43,16,25,16
-7.0,48.0,56.0,76.0,38,28,21,21
-5.0,42.0,51.0,79.0,12,18,9,18
-2.0,40.0,72.0,0.0,6,30,26,31
0.0,40.0,43.0,83.0,17,3,17,26
-6.0,35.0,56.0,90.0,68,5,11,5
-2.0,38.0,58.0,70.0,67,6,13,13
-9.0,43.0,54.0,83.0,31,7,24,7
-2.0,39.0,39.0,82.0,45,15,9,9
-2.0,45.0,48.0,62.0,32,18,8,8
-6.0,40.0,46.0,46.0,37,25,1,25
-7.0,46.0,48.0,53.0,73,28,22,29
-7.0,43.0,72.0,0.0,48,27,23,28
-2.0,40.0,62.0,86.0,47,0,10,0
-2.0,39.0,64.0,72.0,31,29,20,30
-7.0,40.0,54.0,65.0,57,31,16,16
-3.0,43.0,75.0,58.0,29,19,21,21
-11.0,46.0,60.0,48.0,35,16,27,16
-7.0,39.0,49.0,61.0,29,31,23,32
-9.0,45.0,45.0,52.0,45,1,28,1
-3.0,40.0,37.0,46.0,38,13,19,13
-6.0,35.0,27.0,60.0,31,5,6,5
-3.0,38.0,41.0,37.0,45,9,18,18
-6.0,39.0,72.0,0.0,41,10,29,10
-6.0,37.0,19.0,51.0,25,11,30,31
-3.0,39.0,23.0,52.0,51,20,7,7
-3.0,42.0,28.0,55.0,26,21,3,21
-7.0,46.0,31.0,59.0,41,24,22,24
-9.0,39.0,34.0,51.0,20,25,0,25
-8.0,41.0,26.0,63.0,37,26,15,27
-2.0,46.0,60.0,40.0,52,17,8,8
-6.0,40.0,69.0,61.0,41,19,24,19
-1.0,35.0,59.0,72.0,27,29,5,5
-3.0,42.0,18.0,51.0,66,13,15,13
-3.0,38.0,14.0,62.0,51,6,7,7
-5.0,42.0,28.0,50.0,62,8,25,8
-6.0,38.0,72.0,0.0,27,10,11,10
-10.0,37.0,72.0,0.0,36,30,20,31
-3.0,44.0,57.0,79.0,37,17,1,17
-9.0,48.0,72.0,0.0,65,22,21,21
-8.0,42.0,19.0,58.0,50,23,18,18
-6.0,42.0,53.0,82.0,31,28,3,3
-2.0,42.0,72.0,0.0,42,27,9,28
-2.0,38.0,15.0,54.0,38,0,31,0
-4.0,44.0,57.0,87.0,43,16,26,16
-1.0,37.0,81.0,74.0,34,29,20,30
-10.0,45.0,77.0,76.0,27,1,22,1
-4.0,41.0,66.0,94.0,31,3,24,3
-4.0,37.0,63.0,84.0,25,5,11,5
-4.0,41.0,69.0,71.0,48,6,27,6
-3.0,38.0,67.0,58.0,16,9,18,18
-4.0,40.0,72.0,0.0,41,10,28,10
-6.0,38.0,69.0,73.0,47,17,30,17
-6.0,45.0,62.0,79.0,57,21,13,21
-6.0,38.0,70.0,64.0,34,23,25,25
-10.0,37.0,67.0,81.0,70,26,15,27
0.0,38.0,71.0,71.0,27,0,19,26
-2.0,38.0,75.0,80.0,36,31,8,8
-2.0,45.0,66.0,80.0,58,7,16,7
-2.0,41.0,81.0,80.0,40,19,26,19
-2.0,43.0,78.0,61.0,38,13,3,3
-4.0,43.0,72.0,73.0,12,7,30,7
-10.0,41.0,82.0,62.0,47,8,0,8
-4.0,39.0,65.0,73.0,48,11,1,1
-3.0,38.0,74.0,66.0,29,15,29,15
-6.0,40.0,72.0,0.0,40,22,17,17
-3.5,42.0,75.0,50.0,61,24,6,24
-3.5,39.0,74.0,68.0,16,25,21,25
-7.0,43.0,73.0,81.0,51,16,10,16
0.0,41.0,62.0,70.0,45,28,5,26
0.0,41.0,72.0,0.0,23,27,9,26
-6.0,37.0,81.0,63.0,24,31,23,32
-2.0,41.0,66.0,48.0,46,20,18,18
-4.0,38.0,55.0,83.0,34,3,25,3
-9.0,41.0,61.0,65.0,51,1,28,1
-3.0,35.0,58.0,68.0,45,5,29,5
-1.0,41.0,63.0,59.0,37,6,7,6
-3.0,36.0,70.0,25.0,38,9,13,9
-3.0,37.0,72.0,0.0,26,30,19,31
-4.0,41.0,68.0,54.0,73,15,16,16
-7.0,38.0,69.0,80.0,58,17,11,17
-3.5,42.0,58.0,58.0,50,20,10,10
-3.0,36.0,61.0,59.0,27,23,22,23
-7.0,40.0,64.0,74.0,30,18,27,18
-5.5,43.0,59.0,64.0,48,26,24,27
-3.0,38.0,68.0,58.0,70,0,31,0
-2.0,42.0,62.0,50.0,56,21,8,8
-3.0,38.0,67.0,65.0,59,13,19,19
-4.0,39.0,73.0,55.0,51,6,3,3
-2.0,44.0,70.0,56.0,45,7,1,1
-11.0,40.0,82.0,59.0,28,8,23,8
-3.0,42.0,63.0,28.0,66,9,16,16
-2.0,40.0,72.0,0.0,16,10,18,18
-3.0,41.0,58.0,67.0,43,11,20,11
-3.0,38.0,69.0,68.0,50,24,30,31
-9.0,37.0,68.0,66.0,49,25,31,25
-4.0,46.0,68.0,67.0,48,26,21,27
-6.0,43.0,64.0,79.0,35,28,22,29
-2.0,42.0,72.0,0.0,34,27,15,28
-1.0,38.0,77.0,68.0,30,29,0,30
-1.0,38.0,53.0,59.0,31,5,17,17
-7.0,43.0,47.0,70.0,40,3,13,3
-3.5,37.0,72.0,0.0,27,30,6,31
-2.5,42.0,64.0,71.0,43,17,7,17
-6.0,42.0,82.0,69.0,56,19,24,19
-5.0,41.0,50.0,82.0,45,20,5,20
-6.0,45.0,52.0,58.0,50,21,15,21
-6.0,44.0,72.0,0.0,26,22,26,27
-3.0,37.0,53.0,56.0,41,23,11,23
-4.0,37.0,58.0,76.0,17,18,9,18
-9.0,46.0,69.0,68.0,34,16,27,16
-5.5,44.0,64.0,54.0,37,0,8,8
-1.0,36.0,76.0,76.0,38,29,10,30
-2.0,43.0,58.0,59.0,47,31,28,32
-2.0,39.0,62.0,66.0,29,25,1,25
-4.0,41.0,60.0,88.0,72,1,17,1
-2.0,41.0,52.0,67.0,60,13,6,13
-4.0,40.0,48.0,78.0,31,5,31,5
-7.0,36.0,64.0,33.0,48,9,10,9
-4.0,38.0,49.0,85.0,31,11,29,11
-7.0,36.0,72.0,0.0,52,30,27,31
-1.0,37.0,57.0,75.0,27,15,18,18
-9.0,37.0,72.0,0.0,45,22,25,25
-1.0,38.0,52.0,54.0,48,23,0,23
-2.5,46.0,52.0,54.0,52,24,21,21
-3.5,46.0,51.0,68.0,20,26,7,27
-7.0,46.0,68.0,69.0,64,16,20,16
-5.0,45.0,58.0,67.0,59,28,8,8
-4.0,39.0,44.0,63.0,52,3,19,3
-8.0,45.0,68.0,71.0,61,1,0,1
-4.5,51.0,53.0,73.0,57,13,16,16
-1.0,45.0,57.0,69.0,41,6,26,27
-11.0,41.0,57.0,53.0,37,7,22,7
-5.0,43.0,64.0,55.0,46,8,17,8
-1.0,44.0,47.0,78.0,16,11,28,29
0.0,37.0,49.0,53.0,42,15,9,26
-7.0,40.0,76.0,66.0,23,19,31,19
-3.5,44.0,44.0,61.0,58,20,25,25
-3.5,43.0,51.0,77.0,48,21,30,21
-3.0,46.0,55.0,70.0,47,24,3,3
-4.0,35.0,59.0,81.0,34,18,29,18
-1.0,40.0,72.0,0.0,32,27,23,28
-6.0,36.0,72.0,0.0,65,10,5,10
-8.0,43.0,44.0,94.0,51,1,23,1
-5.0,39.0,41.0,56.0,16,3,9,3
-11.0,47.0,39.0,55.0,37,5,16,16
-7.0,46.0,40.0,53.0,70,7,13,7
-6.0,42.0,54.0,74.0,55,8,19,8
-5.5,38.0,72.0,0.0,58,10,11,10
-6.0,41.0,72.0,0.0,24,22,6,6
-9.0,45.0,48.0,64.0,22,24,27,24
-3.0,36.0,58.0,85.0,45,18,15,18
-9.5,37.0,45.0,73.0,30,25,29,25
-1.0,46.0,56.0,78.0,37,28,17,29
-2.5,50.0,45.0,52.0,47,0,20,20
-3.0,44.0,49.0,79.0,46,31,21,21
-5.5,40.0,53.0,90.0,39,26,30,27
-4.0,43.0,51.0,67.0,35,3,7,3
-4.0,40.0,60.0,72.0,55,6,30,6
-4.0,39.0,50.0,75.0,58,11,27,11
-6.0,47.0,70.0,25.0,33,17,10,17
-7.0,48.0,78.0,66.0,37,19,13,19
-6.5,41.0,72.0,0.0,51,22,1,1
-2.0,43.0,52.0,71.0,33,23,24,23
-1.0,42.0,59.0,73.0,44,18,21,18
-3.0,39.0,53.0,73.0,31,25,8,25
-5.0,45.0,50.0,67.0,31,26,28,27
-6.0,49.0,68.0,32.0,42,16,15,16
-6.0,36.0,72.0,81.0,30,29,5,30
-4.0,46.0,59.0,77.0,63,31,0,32
-5.0,43.0,51.0,42.0,36,9,20,9
-3.0,48.0,49.0,43.0,55,13,24,24
-4.0,38.0,48.0,36.0,43,9,7,9
-3.0,38.0,46.0,59.0,50,11,23,11
0.0,36.0,72.0,0.0,33,30,18,26
-8.0,40.0,53.0,65.0,29,15,5,15
-11.0,42.0,64.0,63.0,34,17,22,17
-5.0,40.0,47.0,46.0,35,20,29,20
-3.0,46.0,44.0,42.0,57,21,19,21
-4.0,48.0,65.0,73.0,57,16,6,16
-2.5,44.0,54.0,82.0,31,28,1,1
-5.0,43.0,72.0,0.0,45,27,26,27
-4.5,42.0,57.0,54.0,62,0,25,25
-2.0,44.0,55.0,41.0,64,31,10,32
-3.5,42.0,50.0,80.0,41,8,3,8
-5.0,44.0,53.0,49.0,54,1,26,1
-3.5,44.0,42.0,48.0,34,6,17,6
-3.0,46.0,72.0,0.0,51,10,8,8
-3.0,38.0,44.0,74.0,38,11,5,11
-5.0,37.0,56.0,59.0,33,15,30,15
-5.0,39.0,69.0,61.0,50,19,18,19
-8.0,44.0,53.0,73.0,30,20,22,20
-2.5,51.0,45.0,92.0,23,21,24,21
-2.0,43.0,49.0,68.0,57,23,31,23
-14.0,48.0,51.0,61.0,51,25,13,25
-3.0,43.0,60.0,79.0,27,28,7,29
-5.5,43.0,51.0,70.0,24,0,3,3
-1.0,35.0,56.0,58.0,31,29,9,9
-6.0,50.0,72.0,0.0,67,27,16,16
-2.0,41.0,39.0,48.0,59,13,0,0
-7.0,34.0,31.0,82.0,37,3,21,3
-1.0,39.0,21.0,81.0,30,5,10,10
-3.5,38.0,30.0,60.0,59,6,9,6
-3.0,44.0,30.0,72.0,42,7,26,7
-7.0,45.0,51.0,60.0,34,8,31,8
-6.0,36.0,72.0,0.0,51,30,22,31
-7.0,41.0,37.0,62.0,53,15,27,15
-3.0,42.0,60.0,79.0,64,17,28,17
-2.5,45.0,41.0,51.0,31,24,19,24
-3.0,45.0,60.0,96.0,76,18,16,18
-10.0,38.0,39.0,52.0,30,25,23,25
-3.0,34.0,49.0,61.0,40,29,11,30
-4.0,49.0,45.0,47.0,61,1,20,1
-13.0,42.0,68.0,62.0,19,8,5,8
-3.0,44.0,72.0,0.0,37,10,15,10
-5.0,42.0,34.0,77.0,35,3,31,3
-2.0,46.0,36.0,53.0,62,7,6,6
-4.0,42.0,72.0,0.0,58,30,1,1
-7.0,43.0,30.0,77.0,58,20,11,20
-4.0,48.0,37.0,50.0,47,21,0,21
-1.0,36.0,72.0,0.0,45,22,29,30
-11.0,50.0,42.0,48.0,25,24,13,24
-6.5,45.0,33.0,58.0,24,26,17,27
-4.0,46.0,57.0,86.0,51,16,9,16
-5.0,39.0,49.0,77.0,27,28,23,29
0.0,45.0,72.0,0.0,63,27,18,26
-3.0,45.0,73.0,74.0,23,19,25,25
-2.5,41.0,72.0,0.0,30,30,7,31
-13.5,45.0,39.0,43.0,50,13,8,8
-3.0,41.0,33.0,76.0,19,5,20,20
-7.0,42.0,28.0,65.0,24,6,28,6
-3.5,40.0,49.0,27.0,29,9,15,9
-2.0,41.0,31.0,83.0,48,11,10,10
-6.5,44.0,60.0,65.0,38,19,21,19
-3.5,39.0,36.0,50.0,17,23,17,23
-4.5,46.0,59.0,81.0,55,16,3,16
-9.0,40.0,72.0,0.0,50,27,24,24
-6.5,45.0,43.0,68.0,33,0,22,0
-3.0,41.0,48.0,62.0,47,29,1,1
-4.0,41.0,43.0,45.0,28,31,25,25
-4.0,44.0,56.0,92.0,57,18,26,27
-2.5,42.0,32.0,67.0,27,7,24,24
-4.0,43.0,72.0,0.0,52,10,20,10
-3.5,39.0,44.0,83.0,31,8,25,8
-9.0,40.0,36.0,62.0,36,9,27,9
-2.0,39.0,38.0,63.0,24,15,19,15
-3.5,41.0,30.0,60.0,29,21,3,3
-3.0,41.0,72.0,0.0,42,22,11,11
-6.0,38.0,56.0,94.0,29,18,5,18
0.0,38.0,27.0,71.0,27,26,6,26
-7.0,39.0,54.0,87.0,34,28,30,29
-4.0,41.0,32.0,73.0,30,0,23,0
-2.0,45.0,58.0,55.0,47,29,16,16
-14.0,45.0,35.0,63.0,52,31,13,32
-4.0,42.0,59.0,74.0,37,17,1,1
-3.0,36.0,55.0,62.0,22,19,3,19
-3.0,36.0,26.0,51.0,23,23,8,8
-3.0,43.0,21.0,46.0,58,1,6,6
-6.0,47.0,21.0,56.0,44,13,21,21
-3.0,34.0,6.0,68.0,59,5,9,9
-6.0,41.0,72.0,0.0,37,10,29,10
0.0,37.0,72.0,0.0,41,30,26,26
-1.0,43.0,59.0,80.0,37,17,31,32
-2.5,45.0,10.0,67.0,16,20,15,20
-7.0,37.0,72.0,0.0,38,22,28,29
-3.5,39.0,24.0,48.0,31,24,11,24
-9.0,39.0,22.0,58.0,38,25,0,25
-2.0,45.0,72.0,0.0,63,27,7,28
-6.5,45.0,63.0,74.0,33,16,18,16
-2.0,45.0,72.0,66.0,37,13,21,21
-3.5,35.0,73.0,69.0,23,3,15,3
-7.0,40.0,75.0,70.0,33,6,30,6
-1.0,42.0,48.0,82.0,26,9,16,9
-5.5,37.0,72.0,0.0,27,10,5,10
-1.0,40.0,73.0,80.0,58,11,17,17
-2.0,38.0,72.0,0.0,27,20,29,20
-1.0,36.0,72.0,0.0,28,22,0,0
-1.5,37.0,75.0,58.0,30,23,1,23
-2.0,37.0,75.0,58.0,73,24,19,24
-6.5,37.0,74.0,65.0,71,25,31,25
-6.0,38.0,65.0,46.0,40,28,18,29
-2.5,40.0,72.0,0.0,28,27,7,7
-5.5,42.0,84.0,57.0,64,8,26,8
-3.0,35.0,60.0,81.0,45,3,20,3
-3.0,40.0,76.0,70.0,52,1,18,1
-4.5,34.0,56.0,67.0,10,5,22,5
-2.5,42.0,56.0,64.0,45,7,25,7
-1.0,40.0,58.0,56.0,45,9,28,9
-3.5,35.0,72.0,0.0,44,30,27,31
-3.0,40.0,60.0,72.0,31,15,16,16
-1.5,44.0,70.0,68.0,33,17,10,17
-12.5,45.0,82.0,70.0,44,19,13,19
-1.0,46.0,62.0,60.0,38,21,24,24
-1.0,43.0,55.0,56.0,46,26,6,6
-4.0,39.0,62.0,78.0,31,0,8,8
-3.5,37.0,80.0,80.0,34,29,31,30
-2.5,41.0,60.0,76.0,46,23,11,23
-3.5,40.0,57.0,96.0,51,1,17,1
-1.0,35.0,55.0,85.0,16,3,19,3
-3.5,32.0,46.0,72.0,37,5,10,10
-6.5,38.0,57.0,78.0,17,7,21,7
-7.0,37.0,61.0,49.0,23,8,29,8
-7.5,36.0,33.0,48.0,27,9,27,9
-2.0,40.0,45.0,65.0,33,11,20,11
-5.5,38.0,72.0,0.0,34,30,26,27
-2.5,31.0,72.0,0.0,44,22,15,15
0.0,35.0,50.0,90.0,44,23,31,26
-8.0,39.0,50.0,90.0,37,24,13,24
-1.0,40.0,55.0,82.0,32,25,6,25
-4.0,36.0,53.0,83.0,51,0,28,29
-1.0,41.0,57.0,70.0,52,18,16,18
-6.5,38.0,40.0,59.0,45,8,7,8
-4.0,36.0,72.0,0.0,19,10,23,10
-7.0,42.0,59.0,91.0,43,1,0,1
-13.0,36.0,27.0,74.0,20,3,13,3
-4.5,43.0,46.0,76.0,48,6,18,6
-2.0,39.0,60.0,68.0,34,17,15,17
-5.5,36.0,72.0,0.0,42,20,5,20
-2.5,36.0,30.0,39.0,50,21,30,21
-3.5,42.0,32.0,56.0,28,24,11,24
-6.5,40.0,61.0,60.0,50,16,9,16
-7.5,38.0,56.0,81.0,43,28,22,29
-6.0,43.0,72.0,0.0,16,27,26,27
-2.5,42.0,38.0,67.0,22,31,25,32
-2.0,33.0,74.0,84.0,40,29,19,19
-2.5,42.0,57.0,37.0,54,17,28,29
-14.5,38.0,61.0,86.0,37,13,6,6
-2.0,36.0,49.0,90.0,39,5,21,5
-3.0,44.0,60.0,71.0,43,7,16,16
-3.5,42.0,36.0,66.0,61,9,1,9
-2.5,38.0,42.0,93.0,54,11,3,11
-6.5,40.0,57.0,75.0,51,18,27,18
-6.0,38.0,78.0,74.0,36,19,20,19
-2.5,35.0,72.0,0.0,23,22,29,22
-7.0,35.0,56.0,85.0,31,23,30,23
-5.5,39.0,60.0,89.0,43,25,0,25
-6.5,41.0,58.0,78.0,49,26,15,27
-2.0,42.0,64.0,81.0,34,31,8,8
-1.0,39.0,72.0,0.0,41,10,24,10
-2.0,37.0,35.0,69.0,30,23,25,23
-2.0,47.0,47.0,76.0,78,28,16,29
-3.5,41.0,38.0,84.0,35,1,22,1
0.0,40.0,20.0,67.0,13,3,26,26
-8.0,44.0,26.0,50.0,33,6,7,6
-5.5,41.0,10.0,59.0,40,11,10,11
-3.0,40.0,17.0,66.0,37,15,18,18
-2.5,43.0,59.0,72.0,51,17,9,17
-12.0,38.0,72.0,0.0,23,20,13,20
-6.0,37.0,26.0,51.0,3,21,19,19
-3.5,35.0,27.0,64.0,49,24,29,24
-3.5,35.0,72.0,0.0,34,27,5,28
-1.0,42.0,19.0,70.0,19,0,31,32
-8.5,38.0,72.0,0.0,44,30,8,8
-8.0,47.0,56.0,66.0,68,18,17,18
0.0,35.0,56.0,64.0,39,19,24,26
-7.0,36.0,29.0,80.0,40,13,11,11
-1.0,35.0,34.0,88.0,17,5,0,0
-3.5,39.0,35.0,82.0,19,7,26,27
-10.0,39.0,56.0,46.0,28,8,22,8
-6.5,38.0,35.0,28.0,53,9,15,9
-4.0,38.0,72.0,0.0,65,10,20,10
-6.0,35.0,31.0,68.0,49,25,30,25
-4.0,50.0,46.0,76.0,24,28,1,29
-4.0,33.0,72.0,0.0,16,27,21,28
-1.0,34.0,50.0,81.0,47,29,3,30
-3.5,36.0,32.0,73.0,29,31,23,32
-3.0,50.0,56.0,79.0,84,16,6,16
-3.5,47.0,64.0,81.0,45,1,11,1
-10.0,40.0,51.0,79.0,34,6,27,6
-8.0,41.0,38.0,71.0,44,8,25,8
-4.0,38.0,72.0,0.0,34,30,7,7
-3.0,41.0,27.0,77.0,39,15,28,29
-7.5,48.0,52.0,38.0,37,18,9,18
-3.0,42.0,52.0,38.0,60,17,5,17
-2.5,41.0,72.0,0.0,56,20,24,24
-3.0,34.0,72.0,0.0,37,22,31,32
